name,accuracy,f1_macro,f1_fox,f1_nbc,precision_fox,recall_fox,precision_nbc,recall_nbc,n,model,split,stage
classical_v0_random_val,0.6978609625668449,0.6934226084685639,0.7303102625298329,0.6565349544072948,0.6860986547085202,0.7806122448979592,0.7152317880794702,0.6067415730337079,374,classical_v0,random,val
classical_v0_random_test,0.7112299465240641,0.7088235294117647,0.7352941176470589,0.6823529411764706,0.7109004739336493,0.7614213197969543,0.7116564417177914,0.655367231638418,374,classical_v0,random,test
classical_v1_random_val,0.7887700534759359,0.7879681658019189,0.801007556675063,0.7749287749287749,0.7910447761194029,0.8112244897959183,0.7861271676300579,0.7640449438202247,374,classical_v1,random,val
classical_v1_random_test,0.8529411764705882,0.8527632831568926,0.8578811369509044,0.8476454293628809,0.8736842105263158,0.8426395939086294,0.8315217391304348,0.864406779661017,374,classical_v1,random,test
classical_v2_random_val,0.8128342245989305,0.8119252873563219,0.825,0.7988505747126436,0.8088235294117647,0.8418367346938775,0.8176470588235294,0.7808988764044944,374,classical_v2,random,val
classical_v2_random_test,0.8582887700534759,0.8575463358893831,0.8678304239401496,0.8472622478386167,0.8529411764705882,0.883248730964467,0.8647058823529412,0.8305084745762712,374,classical_v2,random,test
classical_v2_temporal_val,0.7515527950310559,0.748915639163702,0.7231833910034602,0.7746478873239436,0.7157534246575342,0.7307692307692307,0.78125,0.7681564245810056,644,classical_v2,temporal,val
classical_v2_temporal_test,0.6733167082294265,0.6693355994083026,0.7056179775280899,0.6330532212885154,0.7336448598130841,0.6796536796536796,0.6042780748663101,0.6647058823529411,2406,classical_v2,temporal,test
